ข้าวต้มหมูสับ,"ข้าวสวย(ข้าวเย็น)2 ถ้วย
น้ำเปล่า(สำหรับต้มข้าว)ให้ท่วมข้าวที่ต้ม
ส่วนผสมน้ำซุป
น้ำเปล่า1 ลิตร
คนอร์ซุปก้อนหมู2 ก้อน
หมูสับ200 กรัม
รากผักชี+กระเทียม+พริกไทย2 ช้อนชา
น้ำปลา1 ช้อนโต๊ะ
กระเทียมเจียวตามชอบ
ต้นหอมซอย+ผักชีซอยอย่างละ 1 ต้น
พริกไทยป่นตามชอบ
พริกน้ำส้ม ตามชอบ "
โทสต์อะโวคาโดไข่ดาวน้ำ,"ขนมปัง 2 แผ่น 
ไข่ไก่ 2 ฟอง 
อะโวคาโด 2 ลูก  
มะเขือเทศลูกเล็กสับ 4 ลูก  
หอมแดงสับ 4 ลูก  
น้ำเลมอน 1 ช้อนโต๊ะ  
ผักชีสับ 1 ช้อนโต๊ะ  
เกลือ 1/4 ช้อนชา  
พริกไทย 1/4 ช้อนชา  
ชีสพาร์เมซาน ตามชอบ 
เนยเค็ม 2 ช้อนโต๊ะ"
ข้าวต้มหมูสับ,"เนื้อหมูสับ2 ขีด
ข้าวสวย1 ทัพพี
ต้นหอม1 ต้น
ผักชี1 ต้น
ซีอิ๊วขาว1 ช้อนชา
น้ำตาล1 ช้อนชา
คนอร์ รสหมูสับครึ่งก้อน"
โจ๊กต้มยำทะเล,"ข้าวสวยหุงสุก 2 ถ้วยตวง  
น้ำสะอาด (สำหรับปั่นข้าว) 1 ถ้วยตวง  
กุ้งขาวแกะเปลือกผ่าหลัง 5 ตัว  
หมึกกล้วย 1 ตัว  
พริกเผา 2 ถ้วยตวง  
ข่าหั่นแว่น 15 กรัม 
ตะไคร้หั่นท่อน 20 กรัม  
ใบมะกรูด 5 ใบ  
พริกจินดาแดงหั่น 5 เม็ด 
น้ำสะอาด 2 ถ้วยตวง  
น้ำปลา 1 ถ้วยตวง  
น้ำมะนาว 5 ลูก  
เปลือกกุ้ง ตามจำนวนกุ้ง  
ผักชี สำหรับตกแต่ง"
โจ๊กหมู,"ข้าวหอมมะลิบดพอละเอียด1 ถ้วย
ข้าวเหนียวบดพอละเอียด1/2 ถ้วย
ขิงหั่นแว่น3 ชิ้น
รากผักชี2 ราก
คนอร์ ซอสข้นปรุงรส รสหมู1 ช้อนโต๊ะ
ซีอิ๊วขาวเห็ดหอม1 ช้อนโต๊ะ
เห็ดหอมแห้งแช่น้ำจนนิ่ม2 ดอก
ขิงซอยตามชอบ
ผักชี. ต้นหอมซอยตามชอบ
น้ำเปล่า
---ส่วนผสมหมักหมูเด้ง--
หมูสับ200 กรัม
คนอร์ ซอสข้น1/2 ช้อนโต๊ะ
แป้งมัน1/2 ช้อนชา
เบคกิ้งโซดา1/2 ช้อนชา
น้ำมันงา1 ช้อนชา
น้ำตาลทราย1 ช้อนชา
น้ำมันหอย1/2 ช้อนโต๊ะ
ไข่ขาวครึ่งฟอง
รากผักชีสับละเอียด1 ราก
เกลือเล็กน้อย"
เกี๊ยวน้ำสูตร มัดใจสามี,"แผ่นเกี๊ยว1ห่อ
หมูบด300กรัม
รากผักชี3ต้น
กระเทียม5กลีบ
พริกไทยเม็ด1ช้อนชา
ซอสหอยนางรม2ช้อนโต๊ะ
ซีอิ๊วขาว1ช้อนโต๊ะ
ซอสปรุงรสฝาเขียว1ช้อนโต๊ะ
น้ำมันงา(สำหรับหมักหมู)1ช้อนชา
น้ำเปล่าสำหรับต้มเกี๊ยว2ถ้วยตวง
น้ำมันงาสำหรับคลุกเกี๊ยว1ช้อนชา
น้ำเปล่า1ถ้วยตวง
รสดีซุปก้อน1ก้อน
รากผักชี(น้ำซุป)2ราก
กระเทียมบุบ2กลีบ
พริกไทยเม็ดบุบ1ช้อนโต๊ะ
ซอสปรุงรสฝาเขียว(สำหรับน้ำซุป)2ช้อนโต๊ะ
น้ำตาลทราย1ช้อนโต๊ะ
พริกไทยป่น
คื่นฉ่ายซอย"
ชุดอาหารเช้า,"ซอสถั่วเหลืองจิ้มและเหยาะ
ไข่ไก่
เบคอน
ไส้กรอก 
แฮม 
ชาร้อน
น้ำสะอาด สำหรับต้มไข่ลวก"
ไข่คน Scrambled egg,"ไข่ไก่2 ฟอง
เนย"
ไข่เบคอนซ่อนชีส,"ไข่ไก่ 4 ฟอง  
เกลือ 1/2 ช้อนชา  
พริกไทย 1/2 ช้อนชา  
ชีสมอสซาเรลลา ตามชอบ  
ชีสเชดดาร์ ตามชอบ  
เบคอน 5-6 ชิ้น"
เบอร์เกอร์หมูชุ่มฉ่ำ,"เนื้อหมูบด400g
หอมหัวใหญ่สับเกือบละเอียด1ลูก
เนยเค็ม
ซอสมะเขือเทศ3ช้อน
ผงโอริกาโน่1ช้อน
พริกไทย1ช้อน
น้ำตาลทราย1ช้อน
ซอสหอยนางรม1ช้อน
ไข่แดง1ฟอง
ขนมปังเบอร์เกอร์ ซื้อได้ที่Tops BigC Macro
มะเขือเทศหั่นแว่น
หัวหอมใหญ่หั่นแว่น
ผักสลัด
มายองเนส หรือซอสตามชอบ
ชีสแผ่น"
