ปลากะพงลุยสวน,"ปลากะพง: 1 ตัว
ตะไคร้: 50 กรัม
หอมแดงซอย: 30กรัม
น้ำมะนาว: 2 ชต
น้ำปลา: 1ช้อนโต๊ะ
ขิ่งหั่นเตา: 2ชต
มะนาวหั่นเต๋า: ตามชอบ
เม็ดมะม่วงหิมพานต์ทอด: 30กรัม
พริกขี้หนูซอย:"
ต้มยำกระดูกอ่อนน้ำข้น,"กระดูกหมูอ่อน: 200 กรัม
เครื่องต้มยำ ข่า ตะไคร้ ใบมะกรูด: 1 ชุด
ซุปคนอร์ก้อนต้มยำ/เล้ง: 1-2 ก้อน
น้ำพริกเผา: 1 ชต
นมข้นจืด: 1 ทัพพี
มะนาว: ตามชอบ
พริกสด: ตามชอบ
ผักชีฝรั่ง/ผักชีไทย: ตามชอบ"
ต้มแซ่บหมูเด้ง 🌶,"หมูเด้ง: 
เห็ดออรินจิ: 
น้ำเปล่า: 
คนอร์ซุปก้อน: 
หัวหอมแดง: 
ตะไคร้: 
ใบมะกรูด: 
เกลือ: 
น้ำปลา: 
มะนาว: 
พริกป่น: "
แกงเขียวหวาน สันในหมู,"เครื่องแกงเขียวหวาน: 100g
สันในหมู: 400g
มะเขือเปราะ: 100g
มะเขือพวง (ไม่ใส่เพราะไม่ชอบครับ): 0
พริกชี้ฟ้า: นิดหน่อย
โหระพา: นิดหน่อย
กะทิ: 500ml
ซอสหอยนางรม: 3 ชต
น้ำปลา: 4 ชต
น้ำตาล: 4-5 ชช"
ทอดมันปลากรายพริกแกงใต้,"เนื้อปลากรายขูด: 200 กรัม
ถั่วฝักยาวซอย: 80 กรัม
พริกแกงใต้: 1.5 ช้อนโต๊ะ
ไข่ไก่: 1 ฟอง
ใบมะกรูดซอย: 5 - 6ใบ
น้ำตาลทราย: 1/2 ช้อนชา
ซีอิ๊วขาว: 2 ช้อนชา"
หมูสามชั้นผัดฉ่า,"หมูสามชั้น: 1/2 กก.
เครื่องผัดฉ่า: 1 ชุด
พริกแกงเผ็ด: 2 ช้อนโต๊ะ
น้ำตาล: 1/2 ช้อนชา
เกลือ: 1/4 ช้อนชา"
มะระหวานผัดไข่ (ฟักแม้ว),"ฟักแม้ว: 2-3ลูก
ไข่เป็ด: 2ฟอง
กระเทียมสับ: 1ชต
น้ำตาลทราย: 2ชช
น้ำมันหอย: 2ชต
น้ำปลา: 2ชช
พริกไท: 1/4ชช
น้ำมันพืช: 2ชต"
ฉู่ฉี่ปลาทู,"ปลาทูสด: 3ตัว
กะทิกล่องอร่อยดี: 250 ml.
พริกแกงเผ็ด: 3 ชต
น้ำปลา: 2 ช้อนโต๊ะ
น้ำตาลปี้บ: 1/2 ช้อนโต๊ะ
ใบมะกรูด: 
พริกแดง:"
ไก่อบซอสบาบีคิวน้ำผึ้ง,"ไก่: 1 kg.
ซอสบาบีคิว: 1/4 ถต.
ซอสปรุงรส: 1/4 ถต.
น้ำผึ้ง: 1/4 ถต.
ฮอทซอสหรือซอสพริกศรีราชา ไม่มีไม่ใส่ก็ได้: 2 ช้อนโต๊ะ
พริกไทยดำป่น: 1 ช้อนชา
กระเทียมสับละเอียด: 1 ช้อนชา
ขิงสับละเอียดหรือขิงขูด: 1/2 ช้อนชา"
ฉู่ฉี่ไข่ดาว,"ไข่ไก่: 6 ฟอง
พริกแกงเผ็ด: 2 ช้อนโต๊ะ
น้ำมันพืช: 
น้ำปลา: 
น้ำตาลทราย: 
น้ำเปล่า: 
ใบมะกรูดหั่นฝอย: 4 ใบ"
แกงเลียงกะทิสด,"กุ้งขาวแกะเปลือกผ่าหลัง: 2 ขีด
หัวหอมแดง: 3 หัว
ข่า(ใส่ดับกลิ่นคาวนิดนึง): 1ช้อนชา
กระชาย: 2ช้อนชา
กะปิ: 1ช้อนชา
พริกไทยขาวเม็ด: 2-3 ช้อนชา
กุ้งแห้ง: 2 ช้อนชา
ฟักทอง: 
ข้าวโพดอ่อน: 
บวบ: 
เห็ดโคนญี่ปุ่น: 
ใบแมงลัก: 1ขีด
กะทิสด: 1/2 ถ้วย
น้ำปลา ตามชอบ เราใส่แค่: 1ช้อน"
"ทำเครื่อง""ผัดพริกขิง"" เก็บไว้ใช้","หอมแดง: 3 หัว
กระเทียม: 3 หัว
ผิวมะกรูด: ครึ่งช้อนโต๊ะ
พริกแห้ง: 15 เม็ด
พริกแกงแดง: 1 ช้อนโต๊ะ
เกลือ: ครึ่งช้อน
กุ้งแห้ง: 1 ช้อน"
"ทำเครื่อง""ผัดพริกขิง"" เก็บไว้ใช้","หอมแดง: 3 หัว
กระเทียม: 3 หัว
ผิวมะกรูด: ครึ่งช้อนโต๊ะ
พริกแห้ง: 15 เม็ด
พริกแกงแดง: 1 ช้อนโต๊ะ
เกลือ: ครึ่งช้อน
กุ้งแห้ง: 1 ช้อน"
แกงส้มชะอมทอด,"กุ้ง: 3 ขีด
ปลาทูทอดแกะก้าง: 1 ตัว
พริกแกงส้มใต้: 1 1/2 ช้อนโต๊ะ
พริกแกงส้มกลาง: 1 1/2 ช้อนโต๊ะ
น้ำตาลปี้บ: 2 ช้อนโต๊ะ
น้ำปลา: 1/2 ทัพพี
เกลือป่น: 1 หยิบมือ
น้ำมะขามเปียก: 1/2 ถ้วยตวง
น้ำสะอาด: 750 มล.
ผักกาดขาว: 1 หัว
แครอท: 1 หัว
หัวไชท้าว: 1 หัว
ชะอมทอด: 1 แพ"
แกงแคกบ,"กบ: 
พริกแห้ง: 
ตะไคร้: 
ข่า: 
กระเทียม: 
มะข่วง: 
มะแขว่น: 
ปลาร้า: 
ข้าวคั่ว: 
ผักต่างๆ: 
น้ำปลา: 
น้ำสะอาด: 500 ml"
แกงแคกบ,"กบ: 
พริกแห้ง: 
ตะไคร้: 
ข่า: 
กระเทียม: 
มะข่วง: 
มะแขว่น: 
ปลาร้า: 
ข้าวคั่ว: 
ผักต่างๆ: 
น้ำปลา: 
น้ำสะอาด: 500 ml"
กุ้งทอดกระเทียม (สูตรมันกุ้ง),"กุ้ง: 
กระเทียม: 
น้ำมันพืช: 
แป้งทอดกรอบ: 
ซอสถั่วเหลือง: 
น้ำมันหอย: 
น้ำปลา: 
พริกไทย: 
เกลือ: "
ทอดมันปลา (ยี่สก),"เนื้อปลายี่สก: 1/2 โล
พริกแกงแดง: 1/2 ขีด
ถั่วฝักยาวซอย: 4 ฝัก
ใบมะกรูดซอย: 6 ใบ
น้ำจิ้มไก่: 5 ช้อนโต๊ะ
น้ำส้มสายชู: 1 ช้อนชา
ถั่วลิสงบด: 20 เม็ด
แตงกวา:"
ผัดไก่ใบยี่หร่า,"เนื้อไก่: 200 กรัม
ขาไก่: 1 ขา
เครื่องในไก่: เล็กน้อย
พริกแกงแดง: 1 ช้อนชา
พริกจินดาแดง: 5 เม็ด
พริกขี้หนูสวน: 20 เม็ด
พริกไทย: 40 เม็ด
กระเทียม: 15 - 20 กลีบ
ใบยี่หร่า: ตามชอบ
พริกชี้ฟ้า/ใบมะกรูด: เล็กน้อย
ซีอิ๊วขาว: 1/2 ช้อนโต๊ะ
เกลือ: 1/8 ช้อนชา
น้ำมัน: เล็กน้อย"
ยำอกไก่ฉีก 🌶,"อกไก่: 1 ชิ้น
น้ำเปล่า: พอประมาณ
แตงกวา: 2 ลูก
มะเขือเทศเชอร์รี่: 3 ลูก
หัวหอมแดง: 1 ลูก
เกลือ: 1 ช้อนชา
มะนาว: 1 ลูก
พริกขี้หนู: 6 เม็ด
น้ำเชื่ิอม: 1 ช้อนชา
ขึ้นฉ่าย: 2 ต้น
พริกป่น: 1 ช้อนชา
น้ำตาลทราย: 1 ช้อนโต๊ะ"
น่องไก่ติดสะโพกอบสมุนไพร,"น่องไก่ติดสะโพก: 4 ชิ้น
น้ำมันหอย: 4 ช้อนโต๊ะ
ซีอิ้วขาว: 2 ช้อนโต๊ะ
กระเทียมป่น: 2 ช้อนชา
พริกไทยดำป่น: 2 ช้อนชา
รากผักชีป่น: 1 ช้อนชา
เม็ดผักชีป่น: 1 ช้อนชา
น้ำมันงา: 2 ช้อนชา
งาดำหรืองาขาว: 1 ช้อนโต๊ะ"
แกงคั่วกุ้งใบชะพลู,"กุ้ง: 15 ตัว
พริกแกงคั่วใต้: 1 ช้อนโต๊ะ
กะทิ: 250 มล.
กะปิ: 1 ช้อนชา
เกลือ: 1 หยิบมือ
น้ำตาลปี๊บ: 1/2 ช้อนโต๊ะ
น้ำเปล่า: 100 มล.
ใบชะพลู: 20-30 ใบ"
ปลาส้ม ( ปลาจีน ),"เนื้อปลาจีน: 882 ก.
เกลือ ( ตักพูนๆ ): 5 ช้อนโต๊ะ
กระเทียม หัวใหญ่: 5 หัว
ข้าวเหนียว (ซื้อร้านหมูปิ้ง): 1-2 ห่อ
น้ำสะอาด ( กะแค่ท่วมปลา ):"
ปลาแนม,"หนังหมู: 2 ขีด
มะพร้าวขูด: 5 ขีด
หอมแดง: 5 หัว
พริกขี้หนู: 5 เม็ด
มะนาว: 1 ลูก
ใบชะพลู: 1 กำ
ปลาย่าง: 2 ขีด"
คะน้าผัดปลากระป๋อง,"คะน้า: 1กำ
ปลากระป๋อง: 1ป๋อง
กระเทียมสับ: 2-3กลีบ
🌶พริกแดง: 2เม็ด
ซอสปรุงรส: 1-2ชช
น้ำตาล: 1ชช"
ก๋วยเตี๋ยวไก่ตุ๋นมะระ,"น่องไก่: 1 kg.
มะระ: 1 ผล
เห็ดหอม: 6 ดอก
รากผักชี: 5 ราก
กระเทียมจีนบุบพอหยาบ: 10 กลีบ
เมล็ดพริกไทย: 2 ชข.
อบเชย: 3 แท่ง
โป๊ยกั๊ก: 4 ดอก
เครื่องตุ๋นยาจีนชุดเล็ก: 1 ชุด
ผงพะโล้: 1 ช้อนโต๊ะ
น้ำตาลกรวดหรือน้ำตาลทราย: 30 กรัม
น้ำตาลมะพร้าวหรือน้ำตาลปี๊บ: 3 ช้อนโต๊ะ
เกลือป่น: 1 ช้อนโต๊ะ
ซอสเห็ดหอม/หอยนางรม: 1/4 ถต.
ซีอิ้วขาว: 3 ช้อนโต๊ะ
ซอสปรุงรส: 3 ช้อนโต๊ะ
ซีอิ้วดำหวาน: 1 ชต
น้ำเปล่า: 12 ถต.
เส้นก๊วยเตี๋ยวตามชอบ: 
ผักต่างๆตามชอบ เราใช้ถั่วงอก: 
กระเทียมเจียวตามชอบ: 
ต้นหอมซอยโรยหน้า: 
ผักชีซอยโรยหน้า: 
เกลือป่นสำหรับคลุกกับมะระ:"
แกงฟักทองใส่หมู(คนอร์),"เนื้อหมู หั่นชิ้นพอประมาณ: 200 กรัม
ฟักทอง หั่นชิ้นพอคำ: 300 กรัม
กระทิ: 250 กรัม
พริแกงเผ็ด: 2 ช้อนโต๊ะ
คนอร์ รสหมู: 1 ช้อนชา
ใบมะกรูดฉีก: 8 ใบ
พริกขี้หนูแดง หั่นเฉลียง: 2 เม็ด
ใบโหระพา: 1 ก้าน
น้ำปลา: 2 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1 ช้อนชา
น้ำเปล่าสะอาด: 100 กรัม"
กากหมูเจียว,"มันหมูแข็งติดหนังหั่นชิ้น: ตามชอบ
น้ำส้มสายชูและเกลือป่น: ล้างมันหมูให้สะอาด
น้ำเปล่า: พอท่วม
เกลือป่น: ตามชอบ"
แกงคั่วหมูหน่อไม้ดอง,"เนื้อหมูติดมัน: 200 กรัม
พริกแกงคั่ว: 80 กรัม
หน่อไม้ดอง: 200 กรัม
กะทิเรียลไทย: 250 มล.
ชะอม: 60 กรัม
พริกชี้ฟ้า: 2 เม็ด
น้ำตาลมะพร้าว: 1 ช้อนโต๊ะ
น้ำปลา: 2-3 ช้อนโต๊ะ
เกลือ: 1/2 ช้อนชา"
ปูผัดขึ้นฉ่าย(สูตรข้าวแกง),"ปูม้าสด: 2ตัว
ขึ้นฉ่าย: 3กำ
ไข่: 3ฟอง
น้ำตาล: 1ชต
ซอสหอยนางรม: 2ชต
ซอสปรุงรส: 2ชช
ผงกะหรี่ตราปืนคู่: 1-2ชต
น้ำปลา: 1-2ชช"
"“แกงเลียงกุ้งสด""","พริกแห้ง: 5-6 เม็ด
หอมแดง: 10 หัว
กระชาย: 10 แง่ง
เกลือ: 1 ช้อนชา
กะปิ: 1/2 ช้อนโต๊ะ
กุ้งสด: 10 ตัว
น้ำสะอาด: 3 ถ้วย
ฟักทอง: 400 กรัม
บวบ: 2 ลูก
ข้าวโพด: 2 ฝัก
เห็ดออรินจิ: 6 ดอก
ใบแมงลัก: 1 กำ
น้ำตาลทราย: 4-5 ช้อนชา
น้ำปลา: 5-6 ช้อนโต๊ะ
ผงปรุงรส: 1 ช้อนชา
พริกไทยป่น: 1 1/2 ช้อนชา"
ปลาทูต้มมะดัน,"ปลาทูสด: 3-4 ตัว
พริกขี้หนูทุบ: 15 เม็ด
หอมแดงทุบ: 3 กลีบ
ข่าหั่นแว่น: 1 หัวเล็ก
ตะไคร้ทุบ: 3 ต้น
มะนาว: 2 ซีก
ผักชีฝรั่ง: 2 ต้น
ใบมะกรูดฉีก: 8 ใบ
มะดัน: 5 ลูก
เกลือ: 1 ช้อนโต๊ะ
น้ำปลา: 1 ช้อนโต๊ะ
น้ำเปล่าสำหรับต้ม: ตามเหมาะสม"
หมูผัดน้ำมันหอย,"เนื้อหมู: 
น้ำมันถั่วเหลือง: 
น้ำเปล่า: 
น้ำมันหอย: 
น้ำตาลทราย: 
อร่อยชัวร์: 
ซีอิ๊วดำ: "
หมูทอดกระเทียมโบราณ และข้าวกล้องผัดไข่,"เนื้อหมูส่วนสะโพก: 300 กรัม
กระเทียม: 1 หัวใหญ่
ซอสถั่วเหลืองปรุงรส: 2 ช้อนโต๊ะ
น้ำมันหอย: 1 ช้อนโต๊ะ
พริกไทยเม็ด: 1 ช้อนชา
พริกไทยป่น: 2-3 เหยาะ
น้ำตาลทราย: 1 ช้อนชา
ส่วนผสมของข้าวผัดไข่: 
ไข่ไก่: 2 ฟอง
ต้นหอม: 1 ต้น
ข้าวกล้องไรซ์เบอรี่ผสมข้าวหอมมะลิ: 2 ถ้วย
น้ำมันพืช: 1 ช้อนโต๊ะ
ผงปรุงรสคนอร์: 1 ช้อนชา"
ต้มแซบขาหมูเผา 🐷,"ขาหมูเผา: 1 กก
ตะไคร้: 10 ท่อน
ข่า: 1 แง่ง
ใบมะกรูด: 3 กิ่ง
มะนาว: 4 ลูก
ผงปรุงรส: 3 ก้อน
พริกจินดา: 10 เม็ด
พริกป่น: 2 ช้อนโต๊ะ
พริกแห้งทอด: 10 เม็ด
หอมแดง: 10 หัว
ผักชีฝรั่ง: 10 ต้น"
ปลาทอดขมิ้น,"ปลาทะเล ขอดเกล็ด ควักไส้ บั้ง: 
กระเทียม: 
ขมิ้น: "
เห็ดชิเมจิผัดน้ำมันหอย 🍄,"เห็ดชิเมจิขาว: 1 แพ็ค
เห็ดชิเมจิดำ: 1 แพ็ค
ต้นหอม: 3-4 ต้น
พริก: 1-2 เม็ด
น้ำมันหอย: 2 ช้อนโต๊ะ
ซีอิ้วขาว: 1 ช้อนโต๊ะ
น้ำตาล: 1 ช้อนชา
กระเทียม: ตามชอบ
พริกไทยขาวป่น: นิดหน่อย"
กระดูกหมูตุ๋นผักกาดดอง,"กระดูกซี่โครงหมู: 1/2 กิโล
เนื้อหมูติดกระดูกอ่อน: 1/2 กิโล
ผักกาดดองเค็ม: 2 กระป๋อง
กระเทียม: 5 กลีบ
เห็ดหอมสด หรือแห้งก็ได้: 6 ดอก
ซีอิ้วขาว: ตามชอบ
เม็ดพริกไทยดำแห้ง: 3-5 เม็ด"
กั้งคั่วพริกเกลือ,"กั้ง: 1/2 โล
กระเทียม: 1 หัวใหญ่
ต้นหอมซอย: 1 ต้น
ซอสปรุงรสฝาเขียว: 2 ช้อนชา
เกลือ: นิดหน่อย
น้ำตาล: นิดหน่อย
น้ำมันพืช: 1 ช้อนโต๊ะ
รากผักชี: 1 ราก
พริกขี้หนู: 10 เม็ด"
หมูผัดขิง และ เห็ดหูหนู,"หมูสันใน: 2 ขีด
ขิงอ่อน: 1 ขีด
เห็ดหูหนูจีนแห้ง: 1 กำมือ
ซีอิ๊วขาว: 1 ช้อนโต๊ะ
น้ำตาลทราย: 1 ช้อนชา
น้ำเปล่า: 1 ถ้วย
น้ำมันพืช: เล็กน้อย"
ไข่พะโล้หมูสามชั้น,"หมูสามชั้น: 400 กรัม
ไข่ไก่: 10 ฟอง
กระเทียม: 15 กลีบ
รากผักชี: 10 ราก
พริกไทย: 1 ช้อนโต๊ะ
โป๊ยกั๊ก: 6 ดอก
อบเชย: 4 ท่อน
ซวงเจีย: 1 ช้อนชา
ซอสหอยนางรม: 8 ช้อนโต๊ะ
ซีอิ้วขาว: 8 ช้อนโต๊ะ
ซีอิ้วดำ: 3 ช้อนโต๊ะ
น้ำตาลปี๊บ: 2 ช้อนโต๊ะ
เต้าหู้ทอด: 1 พวง"
แกงไก่ใส่ฟักทอง(ไม่เผ็ด),"เนื้อไก่หั่นเป็นชิ้นพอดีคำ: 270 กรัม
ฟักทองหั่นเป็นชิ้นพอดีคำ: 370 กรัม
ใบแมงลัก: 1 ถ้วย
ใบมะกรูดฉีก: 3-4 ใบ
น้ำปลา: 1+1/2ช้อนโต๊ะ
น้ำเปล่า: 3 ถ้วย
น้ำมันพืช: เล็กน้อย
::พริกแกงเด็ก::: 
พริกหวานสีแดง: 30กรัม
กระเทียม: 4 กลีบ
หอมแดง: 3 หัว
เกลือป่น: 1/3ข้อนชา
ตะไคร้ซอย: 1 ต้น"
สันคอหมูคั่วพริกเกลือ,"สันคอหมูสไลด์: 400 กรัม
พริกสับหยาบ: 15 เม็ด
กระเทียมสับหยาบ: 10 เม็ด
เกลือ: 1 ช้อนชา
น้ำตาล: 1/2 ช้อนชา"
ฉู่ฉี่ปลานิล (สูตรคุณยาย),"ปลานิล: 1 ตัว
พริกแกงเผ็ด: 3 ช้อนโต๊ะ
ใบมะกรูดหั่นฝอย ประมาณ: 1 ½ ช้อนโต๊ะ
น้ำปลา: 3 ช้อนโต๊ะ
น้ำตาล: 1 ½ ช้อนโต๊ะ
ผงชูรส: 1 ช้อนชา
น้ำมันพืช:"
ผักกาดขาวผัดไข่,"ผักกาดขาว: 3/4 หัว
ไข่ไก่: 1ฟอง
กระเทียม: 5-6 กลีบ
น้ำมันหอย: 1 ช้อนโต๊ะ
น้ำปลา: 1 ช้อนชา"
ข้าวไก่กรอบซอสเขียวหวาน,"อกไก่: 1 ชิ้น
ไข่ไก่: 1 ฟอง
แป้งทอดกรอบ: 1/2 ถ้วย
เกล็ดขนมปัง: 1 ถ้วย
พริกแกงเขียวหวาน: 1 ช้อนโต๊ะ
หัวกะทิ: 1 ถ้วย
น้ำปลา: 1 ช้อนโต๊ะ
น้ำตาลปิ๊บ: 1/2 ช้อนโต๊ะ
น้ำมันสำหรับทอด:"
แกงไก่ใส่เส้นร้อน,"เนื้อไก่หั่นเป็นชิ้น: 200กรัม
วุ้นเส้น: 80กรัม
ตะไคร้ทุบหั่นท่อน: 1ต้น
ใบมะกรูดฉีก: 8ใบ
หอมหัวแดงทุบ: 3หัว
ใบแมงลัก: 1ถ้วย
น้ำปลา: 2ช้อนโต๊ะ
เกลือ: 1ช้อนชา
น้ำตาลมะพร้าว: 1/2ช้อนชา
น้ำเปล่า: 3ถ้วย
---พริกแกง---: 
ตะไคร้ซอย: 2ต้น
หอมแดง: 3หัว
ข่าหั่นแว่น: 5ชิ้น
พริกแดงจินดา: 6เม็ด
พริกขี้หนูแห้ง: 8เม็ด
เกลือป่น: เล็กน้อย
น้ำมันพืช: เล็กน้อย
ต้นหอมหั่นท่อน: 2ต้น"
แกงกะทิหมูหน่อไม้,"หมูสามชั้น: 200 กรัม
กะทิ: 1 กล่องเล็ก
หน่อไม้: 100 กรัม
เครื่องแกงกะทิ: 3 ช.ต
กะปิ: 1 ช.ต
น้ำปลา: 1 ช.ต
น้ำตาล: 1/2 ช.ต
ผงปรุงรสคนอร์: 1 ช.ช
น้ำเปล่า: พอประมาณ
ใบโหระพา:"
✿ แกงมะระ ✿,"มะระจีน: 1 ลูก
สันคอหมู: 2 ขีด
กะทิ: 1 ขวดเล็ก
พริกแกง: 1-2 ช้อนโต๊ะ
คนอร์: 1 ก้อน
น้ำเปล่า: 400 มล.
เครื่องปรุงรสตามครัว:"
ไข่ลวก,"ไข่ไก่: 2 ฟอง
น้ำเปล่า: 1/2 ลิตร"
ต้มส้มปลาหมอใบมะขามอ่อน,"ปลาหมอ: 3 ตัว
หอมแดง: 3 หัว
พริกไทยเม็ด: 1 ช้อนชา
ต้นหอมหั่นเป็นท่อน: 2 ต้น
กะปิ: 1 ช้อนโต๊ะ
น้ำปลา: ครึ่งช้อนโต๊ะ
น้ำเปล่า: 1 ลิตร
น้ำตาลปี๊บ: ครึ่งช้อนโต๊ะ
น้ำมะขามเปียก: 2 ช้อนโต๊ะ
ใบมะขามอ่อน: 1 กำมือ"
ต้มโคล้งปลากรอบ,"ปลาทับทิมทอดกรอบ: 1 ตัว
เห็ดฟาง: 5 ลูก
ใบกระเพรา: 1 ก้าน
ผักชีฝรั่ง: 2 ต้น
มะเขือเทศ: 3 ลูก
หอมแดง: 4 หัว
ข่า: 5 แว่น
ตะไคร้: 1 ต้น
พริกแดง: 5 ดอก
พริกแห้ง: 2ดอก
ใบมะกรูด: 2ใบ
มะนาว: 5 ช้อนโต๊ะ
น้ำเปล่า: 1 ถ้วยตวง
น้ำปลา: 5 ช้อนโต๊ะ
น้ำตาล: 2 ช้อนชา
เกลือ: 1/2 ช้อนชา"
ผัดเผ็ดเนื้อหน่อไม้ดอง,"เนื้อสด: 500 กรัม
หน่อไม้ดอง: 700 กรัม
น้ำปลา: 2 ช้อนโต๊ะ
ผงปรุงรส: 2 ช้อนช้า
น้ำตาลทราย: 3 ช้อนชา
ใบมะกรูดฉีก: 6-10 ใบ
พริกแกงใต้: 200 กรัม
น้ำมันหอย: 2 ช้อนโต๊ะ"
ผัดเห็ดรวมน้ำมันหอย,"เห็ดออรินจิ: 100 กรัม
เห็ดฟาง: 100 กรัม
เห็ดนางฟ้าภูฐาน: 100 กรัม
กระเทียมสับ: 1 ช้อนโต๊ะ
น้ำมันพืช: 1 ช้อนโต๊ะ
ซีอิ้วขาว: 1 ช้อนโต๊ะ
น้ำตาลทราย: 1/2 ช้อนโต๊ะ
น้ำมันหอย: 2 ช้อนโต๊ะ
น้ำเปล่าหรือน้ำซุป: 2 ช้อนโต๊ะ
ต้นหอม: 2 ต้น
พริกไทยป่น: 1/2 ช้อนชา
พริกชี้ฟ้าแดง: 1 เม็ด"
ใบเหลียงผัดไข่ ใส่กากหมู,"ใบเหลียง: 100 กรัม
ไข่ไก่: 2 ฟอง
กระเทียมสับหยาย: 1 ช้อนโต๊ะ
น้ำมันหอย: 1 ช้อนโต๊ะ
น้ำตาล: 1/2 ช้อนโต๊ะ
ซีอิ๋วขาว: 1/3 ช้อนโต๊ะ
น้ำมัน: 2 ช้อนโต๊ะ"
สูตร ไก่รวนปลาร้า เมนูพื้นบ้านที่ใครก็บอกว่าแซ่บ,"เศษเนื้อน่องไก่: 250 กรัม
ตะไคร้: 3-4 ต้น
ใบมะกรูด: 6-8 ใบ
ข่า: 1 แง่ง
หอมแดง: 7-8 หัว
พริกจินดาแดง: 10 เม็ด
พริกจินดาแห้ง: 10 เม็ด
พริกขี้หนูสวน: 15 เม็ด
น้ำปลาร้า: 3 ช้อนโต๊ะ
น้ำเปล่า: 4 ช้อนโต๊ะ
น้ำตาลทราย: 1/2 ช้อนโต๊ะ
ผงชูรส: 1 ช้อนชา"
ผัดกะเพราวุ้นเส้นหมูสับ,"หมูสับ: 200กรัม
วุ้นเส้นสด: 2ห่อเล็ก
พริก: 20เม็ด
กระเทียม: 1หัว
น้ำปลา: 2ช้อนโต๊ะ
น้ำตาล: 1ช้อนโต๊ะ
ซีอิ้วขาว: 1 1/2ช้อนโต๊ะ
ซอสหอย: 1ช้อนโต๊ะ
กะเพรา: ตามชอบ"
ไก่ย่าง กะทิ สูตรโบราณ หอม นุ่ม เด้งฉ่ำ,"สะโพกไก่ (หรือน่องไก่ 3-4 น่อง): 2 ชิ้น
สามเกลอ(กระเทียม พริกไทย รากผักชีตำรวมกัน): 1-2 ข้อนโต๊ะ
ซีอิ๊วขาว: 2 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1ช้อนโต๊ะ
เกลือ: 1 ช้อนชา
ซีอิ๊วดำ: 1 ช้อนชา
กะทิสด: 3 ช้อนโต๊ะ"
เมี่ยงคำบัวหลวง,"น้ำตาลมะพร้าว: 400 มล.
น้ำเปล่า: 200 มล.
ข่า: 50 กรัม
ตะไคร้: 50 กรัม
ขิง: 25 กรัม
หอมแดง: 25 กรัม
กะปิ ห่อใบตองย่าง: 1 ช้อนโต๊ะ
ดอกเกลือ: 1 ช้อนชา
มะพร้าวคั่วป่น: 2 ช้อนโต๊ะ
กุ้งแห้งป่น: 2 ช้อนโต๊ะ
ถั่วลิสงคั่วป่น: 2 ช้อนโต๊ะ"
เขียวหวานแห้งไก่ เอาใจสายคลีนนนนน,"เนื้ออกไก่: 100กรัม
น้ำพริกแกงเขียวหวาน: 1-2 ช้อนโต๊ะ
มะเขือเปราะ: 3 ลูก
ใบโหระพาตามชอบ: 
พริกชิ้ฟ้า: 2เม็ด
น้ำปลา: 1ช้อนโต๊ะ
น้ำตาล(ใส่หรือไม่ใส่ก็ได้): 1ช้อนชา
น้ำเปล่า: 50 มิลลิลิตร"
กะปิคั่ว สูตรโบราณ,"พริกชี้ฟ้าแห้ง: 10 เม็ด
ตะไคร้: 2 ต้น
หอมแดง: 5 หัว
กระเทียมไทย: 15-20 กลีบ
กระชาย: 5 ราก
ข่า: 5 แว่น
ผิวมะกรูด: 1/2 ลูก
รากผักชี: 1 ราก
กะปิอย่างดี: 2 ช้อนโต๊ะพูน
กุ้งแห้งป่น: 2 ช้อนโต๊ะพูน
น้ำตาลปี๊ป 1 ช้อนโต๊ะ: 1 ช้อนโต๊ะ
กะทิอัมพวา: 450 กรัม"
หมูย่างเกลือ,"เนื้อหมู: 
เกลือ: 
น้ำมันพืช: 
ต้นหอม: "
หอยตลับผัดน้ำพริกเผา,"หอยตลับ 500 กรัม: 500 g
โหระพา: 
พริกชี้ฟ้าตามชอบ: 
น้ำพริกเผา 2 ช้อนโต๊ะ: 
กระเทียม 1 ช้อนโต๊ะ: 
น้ำตาล 1 ช้อนชา: 
ซีอิ๊วขาว 1/2 ช้อนโต๊ะ: 
น้ำซุปหรือน้ำเปล่า 1/2 ถ้วย: 
น้ำพันพืช 1 ช้อนโต๊ะ: 
พริกขี้หนู 1/2 ช้อนโต๊ะ ( ถ้าชอบรสเผ็ดสามารถเพิ่มได้):"
พริกแกงแดง ( พื้นฐาน ),"พริกแห้ง: 
ตะไคร้: 
ข่า: 
ผิวมะกรูด: 
หอมแดง: 
กระเทียม: 
กะปิ: "
ผัดเผ็ดเนื้อใส่สะตอ,"เนื้อวัว: 200 กรัม
สะตอ: 10 เม็ด
ใบโหระพา: 2 ต้น
น้ำตาล: 1 ช้อนชา
น้ำปลา: 2 ช้อนโต๊ะ
พริกแกงคั่วกลิ้ง: 1 ช้อนโต๊ะ
น้ำมันพืช: 2 ช้อนโต๊ะ
น้ำเปล่า: 150 กรัม"
ปลาฉิงฉ้างทอด,"ปลาฉิงฉ้าง: 200 กรัม
น้ำมัน: 1 ช้อนโต๊ะ
น้ำตาล: 1 ช้อนโต๊ะ"
