Thai_Name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,Carbs(g),Fiber(g)
ถั่วงอก,0.2,1.8,0.2,30,5.3,1.8
ถั่วแดง,9.3,22.9,2.2,134,27.5,26.1
ถั่วเน่า,9.3,17.9,6.6,167,9.1,0.7
ถั่วปากอ้า,9.3,22.1,1.5,349,61.8,0.7
ถั่วแปะยี,9.3,31.1,0.8,350,54.7,0.7
ถั่วฝักดาบ,9.3,22,1.4,134,27.5,27.2
ถั่วฝักยาว,9.3,27.6,1.7,347,55.5,0.7
ถั่วพลู,1.7,2.8,0.2,38,7.2,3
ถั่วพุ่ม,9.3,24.2,2,357,60.7,0.7
ถั่วพู,9.3,34.1,15.5,424,36.9,0.7
ถั่วฟักยาว,1.5,2.8,0.3,35,7.6,2.7
ถั่วแระ,0.6,14.4,7.9,134,27.5,7.2
ถั่วลันเตา,9.3,23.6,1,341,59.4,0.7
ถั่วลันเตา,4,5,0.4,80,14.5,5.1
ถั่วลิสง,1,1.4,3.2,134,27.5,6.2
ถั่วลิสง,9.3,24.8,45.8,134,27.5,19.7
ถั่วเล็บมือนาง,9.3,18.1,1.2,345,65.3,0.7
ถั่วหรั่ง,9.3,8.4,3.8,180,28.1,0.7
ถั่วหรั่ง,9.3,7.1,2.8,160,26.5,0.7
ถั่วเหลือง,9.3,14.8,9.9,134,27.5,8.3
ถั่วเหลือง,9.3,35.9,18.1,134,27.5,21.9
เถาคัน,9.3,0.4,0.4,134,5.5,1.7
ทับทิม,9.3,0.6,0.1,134,27.5,0.7
ทุเรียนก้านยาว,9.3,2.7,3,134,27.5,1.6
ทุเรียนลวง,9.3,2.6,3.2,134,25.4,0.7
นม,9.6,3.1,3.4,83,27.5,0.5
นมข้น,8,6.4,6.6,123,27.5,0
นมช็อกโกแลต,10.7,2.9,3.4,90,27.5,0
นมถั่วเหลือง,8.3,2.9,3.3,79,27.5,0.7
นมเปรี้ยว,9.3,1.5,0.1,75,27.5,0
นมผง,41.2,19.1,17.5,458,27.5,1.8
นมผงดัดแปลง,57.4,16.4,19.4,468,27.5,2.1
นมพร่องมันเนย,6.3,4.4,1.3,52,27.5,1.1
นมพาสเจอร์ไรส์,11.2,2.6,3.5,83,27.5,0
นมรสหวาน,8,3.2,3.6,82,27.5,0
